Total_Markdown,Predicted_Sales,Marginal_Lift_per_Dollar
0.0,1061218.380687929,
1326.969041666663,1061455.976640974,0.179051617320724
2653.938083333326,1062343.8249395017,0.6690798885651735
3980.9071249999893,1062525.621590334,0.13700142589909323
5307.876166666652,1063122.740725359,0.4499872387941924
6634.845208333316,1064084.2182587585,0.7245666652418539
7961.8142499999785,1064692.5114016486,0.45840793853493417
9288.783291666641,1064763.2183137191,0.0532845227358925
10615.752333333305,1064955.382756742,0.14481456385858646
11942.721374999968,1065561.3022285774,0.4566191469504475
13269.690416666632,1064476.7676544932,-0.8173020922342311
14596.659458333294,1064626.3698453293,0.11273977473370504
15923.628499999957,1064694.7298410279,0.05151589340222786
17250.59754166662,1064266.645870926,-0.32260283146026775
18577.566583333282,1064732.2017108533,0.3508415232825883
19904.535624999946,1064958.3400125653,0.17041716468981602
21231.50466666661,1064880.483841004,-0.058672183838882515
22558.473708333273,1065398.7761394563,0.39058356463332317
23885.442749999936,1065479.1622272846,0.06057872135988301
25212.4117916666,1065809.841597361,0.24919900893924748
26539.380833333264,1066113.4525411015,0.22880032179133092
27866.349874999923,1065799.3134516,-0.23673430173390278
29193.318916666587,1065933.1170974378,0.10083403729582326
30520.28795833325,1066499.5315066099,0.4268482469346913
31847.256999999914,1066491.1004135387,-0.0063536471510536
